CLIENT_IP,CLIENT_CITY,CLIENT_REGION,CLIENT_COUNTRY,ISP,CLIENT_LATITUDE,CLIENT_LONGITUDE,TEST_DATE,SERVER_NAME,DOWNLOAD_KBPS,UPLOAD_KBPS,LATENCY,CLIENT_BROWSER,CLIENT_OPERATING_SYSTEM,USER_AGENT
87.2.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:01:31 GMT",Turin,6952,374,39,"Chrome 47.0.2526.106","Windows ","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
80.116.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:04:10 GMT",Turin,3047,406,45,"Firefox 43.0","Windows ","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
79.24.*.*,"Casale Monferrato",12,Italy,"Telecom Italia",45.1334,8.4525,"1/1/2016 16:04:50 GMT",Turin,1412,373,61,"Firefox 44.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0"
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:05:07 GMT",Turin,6120,413,23,"Firefox 43.0","Windows XP","Mozilla/5.0 (Windows NT 5.1; rv:43.0) Gecko/20100101 Firefox/43.0"
2.235.*.*,Alessandria,12,Italy,Fastweb,44.9,8.6167,"1/1/2016 16:05:16 GMT",Turin,2069,428,100,"Chrome 47.0.2526.106","Windows ","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
151.60.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:05:55 GMT",Turin,2948,485,38,"Internet Explorer 11.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
79.24.*.*,"Casale Monferrato",12,Italy,"Telecom Italia",45.1334,8.4525,"1/1/2016 16:06:06 GMT",Turin,2195,392,71,"Firefox 44.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0"
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:07:22 GMT",Turin,2779,51,48,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
87.5.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:07:55 GMT",Turin,1551,56,1185,"Firefox 43.0","Windows ","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
87.9.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:08:11 GMT",Turin,12818,733,34,"Chrome 47.0.2526.106","Linux ","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
95.244.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:08:25 GMT",Turin,47854,10337,29,"Safari 9.0.2","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
5.170.*.*,"Poggio Rusco",09,Italy,"Telecom Italia Mobile",44.9669,11.1042,"1/1/2016 16:09:44 GMT",Turin,6827,1744,28,"Chrome 46.0.2490.80","Windows ","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
93.56.*.*,Turin,12,Italy,Fastweb,45.0705,7.6868,"1/1/2016 16:09:51 GMT",Turin,3891,786,20,"Chrome 47.0.2526.106","Windows ","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
2.235.*.*,Turin,12,Italy,Fastweb,45.0705,7.6868,"1/1/2016 16:10:01 GMT",Turin,26653,10079,22,"Internet Explorer 11.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
5.170.*.*,"Poggio Rusco",09,Italy,"Telecom Italia Mobile",44.9669,11.1042,"1/1/2016 16:10:30 GMT",Turin,5281,663,64,"Chrome 46.0.2490.80","Windows ","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
94.125.*.*,Rubiana,12,Italy,"PSA S.r.l.",45.1333,7.3833,"1/1/2016 16:10:51 GMT",Turin,1179,53,253,"Firefox 43.0","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:43.0) Gecko/20100101 Firefox/43.0"
